文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),max_memory_allocated (GB),策略后平均 epoch 时间 (s)
MotorImagerymimose_bs2_13GB.log,11616.84,18.466796875,12.994831562042236,121.62588807940483
MotorImagerymimose_bs2_14GB.log,11616.84,18.466796875,12.994831562042236,119.9020961523056
MotorImagerymimose_bs2_15GB.log,15350.45,21.2734375,14.98942232131958,118.25787204504013
MotorImagerymimose_bs2_16GB.log,15350.45,21.2734375,14.98942232131958,117.8209862112999
MotorImagerymimose_bs2_17GB.log,16798.0,21.14453125,16.4038724899292,114.56052830815315
MotorImagerymimose_bs2_18GB.log,16798.0,21.14453125,16.4038724899292,115.8865704536438
MotorImagerymimose_bs2_19GB.log,16798.0,21.14453125,16.4038724899292,115.0394879579544
MotorImagerymimose_bs2_20GB.log,18524.17,22.939453125,18.090406894683838,111.2414662539959
MotorImagerymimose_bs2_21GB.log,18524.17,22.939453125,18.090406894683838,111.57334220409393
MotorImagerymimose_bs2_22GB.log,18524.17,22.939453125,18.090406894683838,111.00537928938866
MotorImagerymimose_bs2_23GB.log,20439.22,22.486328125,19.960376262664795,107.32665959000587
PEMS-SFmimose_bs32_10GB.log,9175.41,12.189453125,8.959445476531982,7.406618684530258
PEMS-SFmimose_bs32_12GB.log,10389.09,13.677734375,10.14603042602539,7.197382032871246
PEMS-SFmimose_bs32_14GB.log,13145.06,15.29296875,12.83552885055542,6.726956903934479
PEMS-SFmimose_bs32_16GB.log,14604.8,16.447265625,14.262256622314453,6.599740713834763
PEMS-SFmimose_bs32_18GB.log,16241.1,17.92578125,15.859992027282715,6.348251461982727
PESFmimose_bs8_10GB.log,,,,
PESFmimose_bs8_12GB.log,,,,
,,,,
